first_name,middle_name,last_name,label,scopus_id
WLADIMIR,,ANDREFF,"Andreff, Wladimir",6507237107
PANAYIOTIS,C,ANDREOU,"Andreou, Panayiotis C.",55310213600
PAOLO,,ANDREOZZI,PAOLO ANDREOZZI,
CHRISTIAN,,ANDRES,"Andres, Christian",22978585400
JAVIER,,ANDRES,"Andrés, Javier",7102575331
ROSS,,ANDRESE,ROSS ANDRESE,
B,P A,ANDREWS,BPA ANDREWS,
DONALD,,ANDREWS,"Andrews, Donald W.K.",7202676441
P,,ANDREWS,"Andrews, Peter",55971259900
PETER,,ANDREWS,"Andrews, Peter",55971259900
VICTOR,,ANDREWS,VICTOR ANDREWS,
ARI,D,ANDRICOPOULOS,"Andricopoulos, Ari D.",6508388105
NATALIA,,ANDRIES,"Andries, Natalia",36197792300
ANDREAS,,ANDRIKOPOULOS,"Andrikopoulos, Andreas",36893471200
JOCHEN,,ANDRITZKY,"Andritzky, Jochen R.",15924978200
THIERRY,,ANE,"Ané, Thierry",13004212900
ANDREW,,ANG,"Ang, Andrew",7005490343
JAMES,,ANG,"Ang, James S.",22937025300
JAMES,S,ANG,"Ang, James S.",22937025300
LAZARUS,,ANGBAZO,"Angbazo, Lazarus A.",6506634892
LAZARUS,A,ANGBAZO,"Angbazo, Lazarus A.",6506634892
JAMES,,ANGEL,"Angel, James J.",7101775713
JAMES,J,ANGEL,"Angel, James J.",7101775713
JIM,,ANGEL,"Angel, James J.",7101775713
ENRICO,,ANGELELLI,"Angelelli, Enrico",6507888557
GEORGE,MARIOS,ANGELETOS,"Angeletos, George Marios",6507757382
GEORGE-MARIOS,,ANGELETOS,"Angeletos, George Marios",6507757382
MARIOS,,ANGELETOS,"Angeletos, George Marios",6507757382
TIMOTHEOS,,ANGELIDIS,"Angelidis, Timotheos",15831318800
P,,ANGELINI,"Angelini, Paolo",7005698084
PAOLO,,ANGELINI,"Angelini, Paolo",7005698084
EMILIO,,ANGELONI,EMILIO ANGELONI,
IGNAZIO,,ANGELONI,"Angeloni, Ignazio",6506488465
XIAOHONG,,ANGERER,"Angerer, Xiaohong",36706991500
JEAN-FRANCOIS,,ANGERS,"Angers, Jean F.",6602241972
